claim_id,is_fraud,group_id,name,phone,address,bank_account,hospital,age,gender,occupation,region,marital_status,driving_years,annual_income,accident_type,accident_date,accident_season,accident_time,accident_weather,vehicle_age,vehicle_type,vehicle_value,coverage_type,policy_premium,policy_duration,past_claims_count,past_claims_total,past_fraud_count,medical_expense,vehicle_repair_cost,third_party_injury,third_party_medical,third_party_property_damage,total_claim_amount,deductible,claim_amount,hospital_days,disability_level,police_report,witness_present,photos_provided,repair_invoice,medical_invoice,claim_processing_days,claim_ratio,expense_to_value_ratio,same_day_claim,high_value_ratio,suspicious_time,fraud_indicators
CLAIM00006253,0,,赵涛伟,18816307688,北京市天河区建设路375号,6226175943352508,人民医院,39,女,教育工作者,西南,已婚,15,174182,多 vehicle 事故,2023-10-08,冬,晚高峰,雨,5,货车,133898,综合险,7148,1,1,14836,0,5405,15417,1,12568,8221,41611,0,41611,1,5,0,1,0,1,1,59,5.8213486289871295,0.31076640427788316,0,0,0,1
CLAIM00004685,0,,赵娜,13955561678,成都市武侯区黄河路105号,6221439561625318,中心医院,54,男,学生,西北,丧偶,32,239327,多 vehicle 事故,2023-02-14,春,早高峰,晴,4,新能源汽车,197487,商业险-全险,7921,1,1,-640,0,1481,18702,1,17611,5242,43036,500,42536,3,5,1,1,1,1,1,39,5.370029036737786,0.21791814144728514,0,0,0,0
CLAIM00001732,0,,王磊,15064682353,南京市西湖区解放路56号,6228861289151380,北京协和医院,41,女,教育工作者,东北,已婚,20,128045,侧面碰撞,2023-09-24,秋,日间,晴,10,新能源汽车,77723,综合险,2107,2,2,19180,0,4324,8501,0,0,10123,22948,2000,20948,0,0,0,1,1,0,0,30,9.942097769340295,0.29525365721858393,0,0,0,1
CLAIM00004743,0,,马超霞,15944578413,郑州市洪山区人民路906号,6222807240478513,第一人民医院,18,女,退休人员,华南,已婚,0,30000,翻滚事故,2023-06-24,夏,早高峰,雾,4,客车,157960,商业险-基本,5600,1,2,22022,0,8915,5197,0,0,0,14112,2000,12112,0,0,0,1,1,1,1,40,2.162857142857143,0.08933907318308433,0,0,0,1
CLAIM00004522,0,,张静,13684757551,西安市南山区长江路339号,6216539067665868,湘雅医院,73,男,学生,华中,丧偶,53,154089,其他,2023-02-12,春,晚高峰,雨,3,客车,290543,商业险-基本,10520,2,1,-5335,0,6445,0,0,0,5778,12223,2000,10223,7,3,1,1,1,0,1,23,0.9717680608365019,0.04206950434187022,0,0,0,0
CLAIM00006341,0,,王平敏,13646346047,天津市福田区文化路681号,6222366418424371,第一人民医院,56,女,自由职业,华东,未婚,30,138327,多 vehicle 事故,2023-01-20,春,日间,雾,5,摩托车,210791,商业险-全险,13850,1,0,0,0,7304,11748,0,0,2079,21131,500,20631,0,0,0,0,1,1,1,59,1.4896028880866425,0.10024621544563098,0,0,0,2
CLAIM00000577,1,,朱明,13629632731,长沙市武侯区文化路795号,6222432759984412,第一人民医院,49,男,学生,华南,未婚,29,134793,自然灾害,2023-09-25,秋,早高峰,冰雹,7,客车,143182,商业险-基本,6772,3,0,0,0,20169,29022,1,11310,504,61005,2000,59005,8,5,1,1,0,0,1,19,8.713083284111045,0.42606612563031665,0,0,0,0
CLAIM00005203,0,,王强勇,15848842695,广州市海淀区科技路321号,6228270854279532,同济医院,48,女,办公室职员,西北,丧偶,28,136352,侧面碰撞,2023-05-29,夏,日间,冰雹,4,新能源汽车,192908,综合险,11353,2,0,0,0,4650,26285,0,0,6544,37479,1000,36479,8,2,1,1,1,0,1,33,3.2131595173082004,0.1942843220602567,0,0,0,0
CLAIM00006364,0,,张平,15087833268,天津市武侯区黄河路329号,6216373957358661,解放军总医院,67,女,企业高管,华中,未婚,49,119101,多 vehicle 事故,2023-08-04,秋,日间,雪,8,新能源汽车,194426,商业险-全险,14874,2,1,11827,0,2684,14471,0,0,8468,25623,0,25623,13,3,1,1,0,0,1,48,1.7226704316256556,0.1317879295978933,0,0,0,0
CLAIM00000440,1,,赵芳涛,13852805024,武汉市西湖区科技路91号,6225945255069684,上海瑞金医院,50,女,办公室职员,华东,未婚,31,215438,盗窃,2023-07-13,秋,早高峰,雨,6,客车,216974,商业险-基本,13742,2,0,0,0,13182,11209,0,0,7854,32245,1000,31245,0,0,0,0,1,0,1,47,2.2736865085140447,0.14861227612525002,0,0,0,2
CLAIM00002751,0,,黄丽,13961863837,天津市浦东新区松花江路221号,6222280525709005,第一人民医院,39,男,学生,西南,已婚,18,141058,盗窃,2023-10-02,冬,晚高峰,晴,5,货车,210790,商业险-全险,8706,1,1,5072,0,1870,35238,1,9160,5010,51278,1000,50278,0,0,0,0,1,1,1,36,5.77509763381576,0.24326580957350918,0,0,1,3
CLAIM00007488,0,,朱艳洋,15928791914,西安市和平区人民路514号,6216883161882824,同济医院,34,女,教育工作者,西北,丧偶,10,124568,行人事故,2023-03-04,春,早高峰,雨,5,客车,184940,综合险,6747,2,2,24740,0,695,24157,0,0,1563,26415,2000,24415,5,0,1,0,1,1,1,9,3.618645323847636,0.14283010706174976,0,0,0,1
CLAIM00005273,0,,徐强娜,18929573000,郑州市洪山区文化路840号,6225242644838822,同济医院,42,男,服务业,华东,未婚,18,30609,行人事故,2023-09-10,秋,夜间,雨,3,SUV,52715,综合险,2864,1,1,5669,0,2455,9896,0,0,3960,16311,1000,15311,0,0,1,0,0,0,0,45,5.346019553072626,0.30941857156407093,0,0,0,1
CLAIM00005654,0,,王洋娟,13767888758,重庆市武侯区长江路219号,6227384660104354,中心医院,71,男,学生,西南,已婚,47,316991,追尾事故,2023-12-21,冬,日间,冰雹,5,轿车,137972,商业险-全险,9789,1,3,20082,0,4073,0,1,3775,6673,14521,500,14021,0,0,1,0,0,0,1,58,1.432321994074982,0.1052459919403937,0,0,0,1
CLAIM00004000,0,,李伟,13897362608,苏州市西湖区中山路443号,6222329618369541,解放军总医院,18,男,自由职业,西南,丧偶,0,210015,翻滚事故,2023-02-25,春,晚高峰,雾,4,SUV,161337,商业险-基本,10524,2,0,0,0,1619,10898,1,1398,8926,22841,1000,21841,3,5,0,0,0,1,1,39,2.0753515773470164,0.14157322870761202,0,0,0,2
CLAIM00006034,0,,周勇,13893366729,杭州市朝阳区文化路37号,6221945270564292,上海瑞金医院,18,女,技术工人,西南,已婚,1,311055,多 vehicle 事故,2023-12-30,冬,晚高峰,雨,4,摩托车,108065,交强险,8457,1,0,0,0,3903,13855,0,0,8213,25971,5000,20971,3,1,0,1,0,0,1,50,2.4797209412321153,0.24032758062277332,0,0,0,1
CLAIM00000583,1,,李杰,15154212348,广州市和平区中山路598号,6228599883088773,上海瑞金医院,22,男,退休人员,华南,已婚,0,103052,盗窃,2023-11-12,冬,早高峰,雨,0,新能源汽车,75706,商业险-基本,5713,2,2,6442,1,10276,0,1,7844,6002,24122,1000,23122,0,0,1,1,0,1,0,42,4.047260633642569,0.3186273214804639,0,0,0,1
CLAIM00009931,0,,杨娟敏,18960947775,西安市武侯区珠江路200号,6222200631366486,中医院,50,男,其他,华北,离异,26,206294,其他,2023-07-03,秋,晚高峰,冰雹,8,摩托车,254788,商业险-全险,20013,3,1,8421,0,993,12049,1,4871,3100,21013,0,21013,2,1,0,0,1,0,0,8,1.0499675211112778,0.08247248693031069,0,0,0,2
CLAIM00007052,0,,朱洋,13831999953,深圳市福田区中山路309号,6226160695335316,北京协和医院,39,男,自由职业,西南,未婚,13,155680,其他,2023-09-28,秋,早高峰,冰雹,0,新能源汽车,180552,商业险-基本,5105,2,0,0,0,8105,42354,0,0,1858,52317,500,51817,0,0,1,0,1,0,0,15,10.15024485798237,0.2897613983783065,0,0,0,1
CLAIM00008159,0,,孙芳敏,13635547174,苏州市渝中区中山路41号,6228952618045612,人民医院,28,女,办公室职员,西南,未婚,5,113759,单 vehicle 事故,2023-01-13,春,日间,雨,3,新能源汽车,82784,交强险,5286,2,0,0,0,4272,18238,1,7740,3497,33747,500,33247,2,5,1,1,1,0,0,3,6.2896329928112,0.4076512369540008,0,0,0,0
CLAIM00009897,0,,陈明,13614626511,北京市和平区珠江路289号,6221526831903212,附属医院,22,男,教育工作者,西北,离异,0,57025,火灾,2023-04-17,夏,晚高峰,雾,5,新能源汽车,50000,商业险-全险,2558,3,0,0,0,6595,0,1,7864,5817,20276,1000,19276,0,0,1,0,1,0,1,13,7.535574667709148,0.40552,0,0,0,1
CLAIM00002250,0,,黄霞,18870177169,苏州市和平区珠江路188号,6226487059593893,附属医院,40,女,医疗工作者,华东,未婚,15,131423,侧面碰撞,2023-04-04,夏,日间,雪,5,摩托车,312887,商业险-基本,22942,3,1,5363,0,2375,20877,1,1464,10273,34989,0,34989,10,0,1,0,1,0,0,26,1.5251067910382705,0.11182631429238031,0,0,0,1
CLAIM00004641,0,,杨艳涛,15077263529,武汉市福田区解放路67号,6227586433143667,湘雅医院,25,女,企业高管,华东,离异,4,213756,其他,2023-12-21,冬,晚高峰,晴,0,新能源汽车,67431,商业险-基本,3316,3,5,35155,0,2894,29876,0,0,4417,37187,0,37187,0,0,1,0,1,1,0,13,11.214414957780459,0.5514822559356972,0,1,1,3
CLAIM00009486,0,,徐霞,13738037535,苏州市朝阳区建设路309号,6228728042417773,中医院,46,男,退休人员,西南,已婚,21,173238,自然灾害,2023-05-25,夏,晚高峰,雾,5,SUV,55306,商业险-全险,2755,3,1,16400,0,7750,19640,1,4958,1473,33821,1000,32821,5,3,1,0,0,1,0,24,11.913248638838475,0.6115249701659856,0,1,0,2
CLAIM00004948,0,,周平娜,15897989913,杭州市浦东新区人民路153号,6226561441626629,宣武医院,51,男,其他,华南,已婚,27,142538,行人事故,2023-09-22,秋,晚高峰,晴,0,货车,278268,商业险-基本,17389,2,0,0,0,2773,24362,0,0,3718,30853,5000,25853,10,4,1,1,1,1,1,29,1.486744493645408,0.11087512757485589,0,0,1,1
CLAIM00009921,0,,李超,15951061209,天津市洪山区文化路191号,6228298217273175,同济医院,26,男,学生,华东,离异,5,143877,翻滚事故,2023-12-10,冬,早高峰,冰雹,1,轿车,180590,商业险-基本,10735,2,0,0,0,0,22586,1,19114,4374,46074,5000,41074,2,1,1,0,1,0,0,52,3.8261760596180716,0.2551304058917991,0,0,0,1
CLAIM00001964,0,,马强秀英,13664628330,北京市和平区中山路813号,6227639415554971,华西医院,35,男,退休人员,华中,已婚,10,30000,追尾事故,2023-03-03,春,夜间,雨,5,摩托车,176335,商业险-基本,10881,1,4,41200,0,4513,15987,1,12220,7816,40536,2000,38536,1,1,0,0,1,0,0,24,3.5415862512636704,0.22988062494683414,0,0,0,2
CLAIM00008244,0,,杨伟,13856809760,武汉市和平区珠江路28号,6221685727059580,解放军总医院,18,男,自由职业,西北,丧偶,0,208844,行人事故,2023-05-30,夏,夜间,晴,13,新能源汽车,338203,综合险,22456,2,3,13629,0,5435,6645,0,0,3021,15101,2000,13101,2,0,0,1,1,1,0,17,0.5834075525472034,0.04465069795359592,0,0,1,2
CLAIM00006591,0,,陈磊,13689162449,广州市天河区黄河路939号,6222935662253666,瑞金医院,75,男,企业高管,西南,离异,55,205890,其他,2023-08-19,秋,晚高峰,雨,7,轿车,50000,交强险,1466,2,0,0,0,7998,12820,0,0,1225,22043,1000,21043,0,0,1,0,1,0,0,59,14.354024556616643,0.44086,0,0,0,1
CLAIM00008848,0,,孙军,18841478196,成都市南山区解放路690号,6225258538272068,湘雅医院,40,女,学生,华北,未婚,14,161803,盗窃,2023-05-11,夏,日间,雨,6,货车,50000,商业险-全险,2500,2,2,8860,0,2118,18063,1,2851,6624,29656,0,29656,1,1,0,0,0,0,1,21,11.8624,0.59312,0,1,0,3
CLAIM00000322,1,,李娜,15113293774,长沙市朝阳区建设路654号,6225854223315042,华西医院,40,男,技术工人,华南,离异,14,166839,追尾事故,2023-03-09,春,晚高峰,晴,4,客车,450090,商业险-全险,10083,1,4,3674,2,17072,3194,1,18678,3469,42413,500,41913,6,4,0,0,1,0,1,57,4.156798571853615,0.09423226465817948,0,0,1,4
CLAIM00002679,0,,陈明,15910729547,成都市和平区长江路180号,6226393446943948,华西医院,29,男,教育工作者,华中,丧偶,9,241936,多 vehicle 事故,2023-07-02,秋,早高峰,雨,7,货车,132090,交强险,2943,1,0,0,0,2870,0,1,8946,3930,15746,1000,14746,0,0,1,0,0,1,1,5,5.010533469249066,0.11920660155954274,0,0,0,1
CLAIM00004626,0,,李伟,18815714503,广州市洪山区黄河路778号,6221861619788908,瑞金医院,47,女,教育工作者,华北,已婚,29,30000,行人事故,2023-06-25,夏,晚高峰,冰雹,3,货车,240535,商业险-全险,12003,1,0,0,0,273,24891,0,0,4970,30134,1000,29134,0,0,0,1,0,0,0,35,2.427226526701658,0.12527906541667533,0,0,0,1
CLAIM00004950,0,,赵军勇,13639344559,南京市海淀区中山路34号,6216618843609713,华西医院,25,女,服务业,华南,丧偶,2,320964,单 vehicle 事故,2023-07-29,秋,夜间,晴,2,新能源汽车,151542,交强险,4635,3,0,0,0,0,2773,1,10340,2809,15922,0,15922,2,4,0,0,0,1,0,9,3.4351672060409926,0.10506658220163387,0,0,1,3
